env_steps,mean_reward,std_reward
24182784,17.76792901992798,1.6558813143638484
24281088,17.90480033874512,1.6225636554178082
24379392,17.973347148895265,1.2167137233203071
24477696,17.751813099384307,2.136362406602787
24576000,17.607958476543427,1.9206530202978525
24674304,17.897765803337098,1.6911009423533818
24772608,17.390420155525206,3.073940190607651
24870912,18.031730995178222,1.440490233008268
24969216,17.981484670639038,1.0204245625126735
25067520,18.244898681640624,1.1689985003714323
25165824,18.27855686187744,1.3123487519056976
25264128,18.26763578414917,1.075367716333063
25362432,18.24184281349182,1.262809785710904
25460736,18.077131407260893,1.9997223203229049
25559040,17.94773278772831,2.1686327750674694
25657344,18.075027256011964,1.6517021798290645
25755648,18.21143262863159,1.0469379692193936
25853952,18.309391841888427,1.2504312003153097
25952256,18.283157884180547,2.2066456866572257
26050560,18.17687822818756,1.9728734370783811
26148864,17.990533492565156,2.1599659258157486
26247168,18.26440227508545,1.1881874053280437
26345472,18.40636402130127,1.419329926710301
26443776,18.5577783203125,1.063742383537353
26542080,18.433534479141237,1.5544821663196773
26640384,18.57120027542114,1.059102321396412
26738688,18.472699146270752,1.7434587671424924
26836992,18.21910646677017,2.463297952041499
26935296,18.559699392318727,1.3736195550917023
27033600,18.219023089408875,1.9164638731628483
27131904,18.40984472990036,2.0319096789822257
27230208,18.228350405693053,2.092194541433738
27328512,18.749921770095824,1.1742187241358535
27426816,17.98045801140368,3.3742845281452447
27525120,18.312493386268617,1.9058158194822905
27623424,18.340561506822706,2.5826703287568264
27721728,18.747409839630127,1.1433580838634474
27820032,18.931604280471802,1.0705852171842378
27918336,19.014544944763184,0.9896438525562214
28016640,18.764935731887817,1.4407024516242837
28114944,18.971302795410157,1.2039107690376798
28213248,18.68584163427353,1.9301808626276982
28311552,18.940999221801757,0.9814511422263356
28409856,18.59705629169941,2.26924000989741
28508160,18.90188325881958,1.1992421120058223
28606464,18.715790576934815,1.938089316705424
28704768,19.12424409866333,0.9143589682931704
28803072,19.04887670516968,1.0410374626266945
28901376,18.976390352249144,1.1823978524589873
28999680,18.902884283065795,1.43922115114456
29097984,19.20803110122681,1.0119121252686412
29196288,19.181504974365236,1.1236917359742573
29294592,18.818632502555847,2.2008171441689424
29392896,19.22579105377197,1.0713475923717228
29491200,19.00906343460083,0.9356514905495977
29589504,19.148855905532837,1.2332908936091627
29687808,19.0977227973938,1.2309780028804105
29786112,19.086053314208986,1.139889199825808
29884416,19.215908946990968,1.1121477983903234
29982720,19.18676347732544,1.4315615475179724
30081024,19.20714595794678,1.0595899049837556
30179328,19.294258365631105,1.174813425343194
30277632,18.960364017486572,1.168134850999767
30375936,19.131175079345702,1.4496849772492226
30474240,19.458398323059082,1.0360485318018187
30572544,19.12861231327057,2.0550957511322507
30670848,19.290272369384766,1.0777845937604347
30769152,19.032269592285157,2.029978759066505
30867456,18.96771933555603,2.7906664710564706
30965760,19.29784170627594,2.2269143105122136
31064064,19.270687675476076,1.0826528000710294
31162368,19.273079986572267,1.248843227121184
31260672,19.39159435272217,0.982589788099112
31358976,19.275094776153566,1.133832983653241
31457280,19.24420506477356,1.1727879360909073
31555584,19.39827268600464,1.1446459485820752
31653888,19.342656548023225,1.9561399882532013
31752192,19.434874353408812,1.6174754351606675
31850496,19.127173836231233,2.0843570489753476
31948800,19.52812488555908,1.0917965064510342
32047104,19.840156850814818,1.3519387314601914
32145408,19.575795001983643,1.103375453155733
32243712,19.40323613882065,1.9108234339984271
32342016,19.423639793395996,1.176282140882544
32440320,19.605258650779724,1.603944537491293
32538624,19.731639442443846,1.0449418025704909
32636928,19.629878730773925,1.1755338946693599
32735232,19.66993680000305,1.5458902059973962
32833536,19.6030037689209,1.2285326467790072
32931840,19.528448581695557,1.1852646962075342
